P(Deceptive) = -0.69314718056
P(Truthful) = -0.69314718056
P(Positive) = -0.69314718056
P(Negative) = -0.69314718056

Before smoothing
Words                   Deceptive     Truthful      Positive      Negative      
hinged                            -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
arrival                           -8.37376537125          -8.12961236321          -8.16777754916          -8.29849137388          
espn                              -10.858672021           -10.8704523871          -10.6526841989          -11.0393313978          
breathtaking                      -9.1539239288           -9.95416165526          -8.6377811784           -11.7324785784          
gangster                          -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
anyways                           -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
overflowed                        -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
impressions                       -9.94238128916          -11.5635995677          -11.3458313795          -10.1230406659          
surgery                           -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
intoxicating                      -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
dexter                            -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
jumped                            -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
sites                             -9.76005973237          -9.61768941864          -9.55407191028          -9.78656842931          
teeny                             -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
moldy                             -10.4532069129          -9.95416165526          -11.3458313795          -9.78656842931          
refreshed                         -10.4532069129          -11.5635995677          -10.2472190908          -11.7324785784          
teens                             -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
jobs                              -9.94238128916          -10.8704523871          -10.6526841989          -10.1230406659          
logins                            -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
screen                            -8.33294337673          -8.38554573735          -7.6322593128           -9.65303703669          
spare                             -10.858672021           -10.1773052066          -11.3458313795          -10.1230406659          
avoid                             -8.84376900049          -8.99865021024          -11.3458313795          -8.43664171237          
many                              -7.39293611824          -6.97863208903          -7.14113876012          -7.17860168677          
sofabed                           -11.5518192016          -10.1773052066          -10.2472190908          -11.0393313978          
s                                 -6.07535564966          -5.9651776087           -5.86519245617          -6.13776719877          
loudly                            -10.858672021           -10.464987279           -11.3458313795          -10.3461842172          
mani                              -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
grooming                          -10.4532069129          -11.5635995677          -11.3458313795          -10.6338662897          
furnitures                        -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
backpack                          -11.5518192016          -10.464987279           -10.6526841989          -11.0393313978          
yearly                            -10.858672021           -10.8704523871          -10.6526841989          -11.0393313978          
ants                              -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
twin                              -10.858672021           -10.1773052066          -10.6526841989          -10.3461842172          
anti                              -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
boat                              -10.4532069129          -10.1773052066          -10.2472190908          -10.3461842172          
narcissistic                      -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
caring                            -10.1655248405          -10.8704523871          -10.2472190908          -10.6338662897          
stretch                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
west                              -10.858672021           -10.1773052066          -10.2472190908          -10.6338662897          
locally                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
marriotts                         -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
vacation                          -7.54448601636          -9.48415802602          -7.68226973338          -8.55442474802          
concede                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
breath                            -9.2492341086           -10.8704523871          -9.26638983783          -10.3461842172          
almighty                          -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
combined                          -10.858672021           -10.8704523871          -10.6526841989          -11.0393313978          
nit                               -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
reflective                        -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
wants                             -9.76005973237          -9.95416165526          -9.39992123045          -10.3461842172          
lanes                             -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
formed                            -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
photos                            -9.60590905254          -9.1657042949           -9.95953701839          -9.09342124875          
undercooked                       -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
former                            -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
felling                           -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
consultant                        -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
pettiness                         -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
easyer                            -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
resturant                         -10.858672021           -10.1773052066          -10.2472190908          -10.6338662897          
newspaper                         -9.94238128916          -9.95416165526          -9.73639346707          -10.1230406659          
situation                         -9.06691255181          -8.79101084546          -9.73639346707          -8.59698436244          
endured                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
penthouse                         -10.1655248405          -10.8704523871          -9.73639346707          -11.7324785784          
ive                               -10.1655248405          -10.8704523871          -9.73639346707          -11.7324785784          
shepard                           -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
gimmicks                          -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
purse                             -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
ribeye                            -10.4532069129          -11.5635995677          -10.2472190908          -11.7324785784          
blah                              -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
technology                        -11.5518192016          -10.464987279           -10.6526841989          -11.0393313978          
dragging                          -10.4532069129          -11.5635995677          -11.3458313795          -10.6338662897          
verified                          -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
surveillance                      -10.1655248405          -10.8704523871          -11.3458313795          -10.1230406659          
sterling                          -10.1655248405          -11.5635995677          -9.95953701839          -11.7324785784          
edges                             -10.858672021           -10.1773052066          -11.3458313795          -10.1230406659          
wired                             -10.858672021           -10.464987279           -10.2472190908          -11.0393313978          
costs                             -9.35459462426          -9.2610144747           -9.14860680217          -9.42989348538          
trains                            -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
grumpy                            -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
persistently                      -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
summer                            -8.98686984413          -9.1657042949           -8.94793610671          -9.16752922091          
sprayed                           -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
being                             -7.33231149642          -7.40471648434          -7.41400574678          -7.3380294237           
rest                              -8.50729676387          -9.07869291791          -9.26638983783          -8.5136027535           
slimy                             -10.4532069129          -11.5635995677          -11.3458313795          -10.6338662897          
steamer                           -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
scrape                            -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
snarled                           -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
plugged                           -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
trimmings                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
deceiving                         -10.1655248405          -11.5635995677          -11.3458313795          -10.3461842172          
generator                         -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
jarred                            -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
color                             -9.60590905254          -10.464987279           -9.73639346707          -10.1230406659          
starving                          -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
aspects                           -10.4532069129          -10.464987279           -10.6526841989          -10.3461842172          
around                            -7.18237134913          -7.30091969066          -7.35684733294          -7.1681303869           
dark                              -9.47237765992          -8.38554573735          -9.73639346707          -8.43664171237          
traffic                           -8.91276187198          -9.48415802602          -9.73639346707          -8.89926523431          
preference                        -11.5518192016          -10.464987279           -10.6526841989          -11.0393313978          
vacuum                            -9.94238128916          -11.5635995677          -11.3458313795          -10.1230406659          
world                             -9.06691255181          -8.99865021024          -9.04324628651          -9.02442837727          
postal                            -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
vague                             -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
dare                              -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
specacular                        -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
partaking                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
plusses                           -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
souvenirs                         -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
michael                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
kennel                            -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
seating                           -10.858672021           -9.77184009847          -9.95953701839          -10.3461842172          
pushy                             -10.1655248405          -11.5635995677          -11.3458313795          -10.3461842172          
tvs                               -10.1655248405          -9.61768941864          -9.14860680217          -11.0393313978          
elements                          -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
lobster                           -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
moreover                          -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
divine                            -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
thinks                            -10.858672021           -10.464987279           -10.6526841989          -10.6338662897          
excelent                          -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
hojo                              -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
scuffed                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
memories                          -10.1655248405          -10.8704523871          -10.2472190908          -10.6338662897          
noon                              -11.5518192016          -9.95416165526          -10.2472190908          -10.6338662897          
searing                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
nook                              -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
exit                              -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
refundable                        -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
tubs                              -10.858672021           -10.8704523871          -10.6526841989          -11.0393313978          
refer                             -11.5518192016          -10.1773052066          -11.3458313795          -10.3461842172          
transformers                      -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
zest                              -10.1655248405          -9.77184009847          -9.26638983783          -11.0393313978          
intimate                          -10.858672021           -10.464987279           -10.6526841989          -10.6338662897          
malfunctioning                    -10.858672021           -10.464987279           -11.3458313795          -10.3461842172          
iconic                            -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
hayseed                           -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
throwback                         -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
luxurious                         -7.42468481655          -9.2610144747           -7.43380837408          -8.64143612501          
schrager                          -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
stone                             -10.4532069129          -10.8704523871          -10.2472190908          -11.0393313978          
package                           -8.15062181993          -8.8555493666           -7.94463399784          -9.02442837727          
industry                          -10.1655248405          -9.95416165526          -9.95953701839          -10.1230406659          
favorite                          -8.33294337673          -8.92454223808          -7.94463399784          -9.53525400103          
side                              -8.91276187198          -8.30550302968          -8.94793610671          -8.36518274838          
neighbor                          -10.4532069129          -10.1773052066          -10.6526841989          -10.1230406659          
act                               -10.1655248405          -10.1773052066          -10.6526841989          -9.94071910914          
mean                              -9.47237765992          -9.61768941864          -9.39992123045          -9.65303703669          
nastily                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
curling                           -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
marshmallow                       -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
flawed                            -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
anothers                          -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
legged                            -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
hairdryers                        -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
excercise                         -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
lively                            -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
homeless                          -10.858672021           -9.77184009847          -10.2472190908          -10.1230406659          
parties                           -10.4532069129          -10.464987279           -11.3458313795          -10.1230406659          
technically                       -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
her                               -7.61999356887          -7.57461552113          -8.45545962161          -7.26657045971          
hey                               -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
meals                             -9.76005973237          -10.1773052066          -9.73639346707          -10.1230406659          
sealed                            -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
bubble                            -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
recommends                        -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
complete                          -8.98686984413          -8.92454223808          -9.14860680217          -8.84210682047          
adequet                           -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
wits                              -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
with                              -5.01078920241          -4.98157442881          -4.89852551697          -5.06806955802          
featuring                         -10.4532069129          -11.5635995677          -11.3458313795          -10.6338662897          
buying                            -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
handsome                          -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
pull                              -10.4532069129          -9.07869291791          -9.95953701839          -9.33458330557          
rush                              -9.60590905254          -9.36637499036          -9.04324628651          -9.94071910914          
october                           -11.5518192016          -9.61768941864          -9.73639346707          -10.6338662897          
hooray                            -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
dirty                             -7.88825755547          -7.802399452            -10.2472190908          -7.3630307259           
torso                             -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
agree                             -10.4532069129          -10.464987279           -10.6526841989          -10.3461842172          
darker                            -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
detailed                          -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
gone                              -9.1539239288           -9.07869291791          -9.55407191028          -8.89926523431          
ac                                -10.1655248405          -10.1773052066          -10.6526841989          -9.94071910914          
ae                                -11.5518192016          -10.1773052066          -10.6526841989          -10.6338662897          
ad                                -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
johnny                            -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
exhausted                         -10.1655248405          -10.8704523871          -10.6526841989          -10.3461842172          
certain                           -9.35459462426          -9.61768941864          -10.2472190908          -9.16752922091          
stealing                          -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
am                                -7.36216445957          -6.93862675441          -7.35684733294          -6.99628012998          
al                                -11.5518192016          -9.77184009847          -11.3458313795          -9.94071910914          
laminated                         -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
an                                -5.97587009845          -5.97261258719          -6.00829329981          -5.95173506258          
as                                -5.50444702255          -5.62870537208          -5.60925908203          -5.53603445057          
au                                -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
at                                -4.61353471758          -4.80318487661          -4.69167885932          -4.71318192465          
av                                -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
watched                           -10.4532069129          -10.1773052066          -10.6526841989          -10.1230406659          
tranquil                          -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
cream                             -11.5518192016          -9.95416165526          -10.2472190908          -10.6338662897          
yoga                              -9.60590905254          -10.8704523871          -9.39992123045          -11.0393313978          
ideally                           -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
novice                            -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
deskperson                        -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
tight                             -10.858672021           -9.95416165526          -10.2472190908          -10.3461842172          
unparalleled                      -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
puppy                             -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
refunded                          -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
forgettable                       -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
accosted                          -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
dented                            -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
terry                             -10.858672021           -10.8704523871          -10.2472190908          -11.7324785784          
slang                             -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
tricky                            -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
courtiest                         -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
snagged                           -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
penninsula                        -11.5518192016          -10.464987279           -10.2472190908          -11.7324785784          
waived                            -11.5518192016          -10.464987279           -10.2472190908          -11.7324785784          
mask                              -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
having                            -7.74515671183          -7.802399452            -7.97853554952          -7.65494113446          
inflating                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
mass                              -10.1655248405          -10.8704523871          -9.95953701839          -11.0393313978          
original                          -10.858672021           -9.95416165526          -10.6526841989          -10.1230406659          
waiver                            -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
consider                          -10.1655248405          -9.77184009847          -9.73639346707          -10.1230406659          
caused                            -9.76005973237          -10.464987279           -10.6526841989          -9.78656842931          
beware                            -10.1655248405          -9.95416165526          -10.6526841989          -9.78656842931          
debris                            -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
tours                             -10.4532069129          -10.8704523871          -10.2472190908          -11.0393313978          
areusually                        -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
content                           -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
careful                           -10.4532069129          -10.464987279           -10.2472190908          -10.6338662897          
tv                                -7.81414958331          -7.45272570352          -7.32047968877          -7.88233097666          
jucie                             -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
laughing                          -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
to                                -3.58627362847          -3.71505608524          -3.78731463646          -3.56484286312          
chewing                           -10.4532069129          -11.5635995677          -11.3458313795          -10.6338662897          
th                                -8.71860585754          -7.1447589599           -7.37553946595          -7.88233097666          
dressing                          -11.5518192016          -10.1773052066          -10.6526841989          -10.6338662897          
smile                             -9.76005973237          -9.61768941864          -9.39992123045          -9.94071910914          
midwest                           -10.858672021           -10.8704523871          -10.6526841989          -11.0393313978          
ta                                -11.5518192016          -9.95416165526          -9.95953701839          -11.0393313978          
paying                            -8.60738022243          -8.6732278098           -9.55407191028          -8.29849137388          
appointment                       -10.858672021           -10.464987279           -10.6526841989          -10.6338662897          
returned                          -9.06691255181          -8.0978636649           -8.57324265727          -8.40027406819          
manageably                        -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
checkin                           -10.4532069129          -10.1773052066          -10.6526841989          -10.1230406659          
reader                            -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
condition                         -9.94238128916          -9.95416165526          -10.2472190908          -9.78656842931          
hooking                           -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
sans                              -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
cable                             -10.1655248405          -9.95416165526          -10.6526841989          -9.78656842931          
laying                            -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
joined                            -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
large                             -8.25598233559          -7.09769144904          -7.02834326597          -8.06891693224          
upmost                            -10.4532069129          -11.5635995677          -10.2472190908          -11.7324785784          
adjust                            -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
harry                             -10.4532069129          -10.8704523871          -10.2472190908          -11.0393313978          
small                             -7.70167159989          -6.70378716334          -7.39458766093          -6.91219701276          
quicker                           -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
sync                              -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
disconnect                        -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
past                              -8.50729676387          -8.47255711434          -8.86092472972          -8.29849137388          
displays                          -10.858672021           -10.8704523871          -10.6526841989          -11.0393313978          
pass                              -9.60590905254          -9.77184009847          -9.26638983783          -10.1230406659          
situated                          -10.1655248405          -10.1773052066          -9.73639346707          -10.6338662897          
bridgestone                       -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
clock                             -10.4532069129          -9.95416165526          -10.2472190908          -10.1230406659          
section                           -9.94238128916          -11.5635995677          -11.3458313795          -10.1230406659          
prevailed                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
electrocuted                      -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
varietals                         -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
seemed                            -7.00852441933          -7.98008062924          -8.30130894178          -7.04113069614          
method                            -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
contrast                          -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
hasn                              -10.858672021           -10.464987279           -10.6526841989          -10.6338662897          
full                              -8.25598233559          -7.71345196599          -8.0499945135           -7.88233097666          
hash                              -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
hours                             -7.70167159989          -7.95268165505          -8.51261803545          -7.52778595898          
november                          -11.5518192016          -9.95416165526          -10.2472190908          -10.6338662897          
outdone                           -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
osco                              -11.5518192016          -10.464987279           -10.2472190908          -11.7324785784          
experience                        -6.34781251452          -7.04181099065          -6.62733250821          -6.64488224314          
prior                             -10.1655248405          -8.47255711434          -9.55407191028          -8.73674630482          
infrequently                      -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
ohhhhh                            -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
cousins                           -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
pick                              -9.2492341086           -9.07869291791          -9.04324628651          -9.24757192858          
action                            -10.4532069129          -10.1773052066          -9.73639346707          -11.0393313978          
via                               -9.76005973237          -9.2610144747           -9.26638983783          -9.65303703669          
depart                            -10.858672021           -10.464987279           -11.3458313795          -10.3461842172          
strolling                         -11.5518192016          -10.464987279           -10.2472190908          -11.7324785784          
excellently                       -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
indoors                           -11.5518192016          -10.464987279           -10.6526841989          -11.0393313978          
pulls                             -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
select                            -10.1655248405          -10.464987279           -10.6526841989          -10.1230406659          
poodle                            -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
unrecognizable                    -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
fragrance                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
gorgeous                          -8.41632498567          -9.07869291791          -8.01362686933          -9.78656842931          
more                              -6.4458737277           -6.67325043948          -6.75071152937          -6.43917375365          
teen                              -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
door                              -7.42468481655          -6.97863208903          -7.60816176122          -6.9617939539           
befitting                         -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
alcove                            -11.5518192016          -10.464987279           -10.6526841989          -11.0393313978          
company                           -8.84376900049          -8.79101084546          -8.86092472972          -8.7880395992           
corrected                         -10.858672021           -9.61768941864          -10.6526841989          -9.78656842931          
cusine                            -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
unkink                            -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
rudeness                          -9.94238128916          -10.464987279           -11.3458313795          -9.78656842931          
knikerbocker                      -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
keeping                           -9.47237765992          -10.464987279           -9.95953701839          -9.78656842931          
science                           -10.858672021           -10.8704523871          -10.2472190908          -11.7324785784          
indescrpencies                    -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
mall                              -11.5518192016          -9.1657042949           -9.04324628651          -11.0393313978          
sent                              -9.06691255181          -8.92454223808          -10.2472190908          -8.59698436244          
learn                             -9.94238128916          -10.1773052066          -10.2472190908          -9.94071910914          
facelift                          -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
scramble                          -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
beautiful                         -7.05200953127          -7.23286622741          -6.45548225129          -8.2359710169           
prompt                            -9.35459462426          -9.61768941864          -8.78088202205          -10.6338662897          
stated                            -10.4532069129          -8.92454223808          -10.6526841989          -9.02442837727          
neglected                         -10.858672021           -10.464987279           -11.3458313795          -10.3461842172          
accept                            -10.4532069129          -11.5635995677          -11.3458313795          -10.6338662897          
allegro                           -8.0860832988           -8.51907712997          -8.01362686933          -8.5136027535           
states                            -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
salty                             -11.5518192016          -10.464987279           -10.6526841989          -11.0393313978          
sense                             -9.94238128916          -10.1773052066          -10.6526841989          -9.78656842931          
scar                              -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
dress                             -11.5518192016          -10.1773052066          -11.3458313795          -10.3461842172          
lucked                            -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
information                       -9.35459462426          -9.07869291791          -9.55407191028          -9.02442837727          
deterred                          -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
ihome                             -10.858672021           -10.8704523871          -10.2472190908          -11.7324785784          
glowing                           -11.5518192016          -10.1773052066          -11.3458313795          -10.3461842172          
disturbed                         -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
freshly                           -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
browns                            -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
unattended                        -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
upto                              -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
continues                         -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
intended                          -9.76005973237          -11.5635995677          -10.6526841989          -10.1230406659          
waitstaff                         -10.858672021           -10.8704523871          -10.6526841989          -11.0393313978          
brett                             -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
